transaction_id,item_id,transaction_date,quantity,price,customer_id,item_name
1,10,2023-02-01,19,418.62,30,Item_J
2,8,2023-12-09,34,225.6,10,Item_H
3,3,2023-07-14,0,195.27,10,Item_C
4,8,2023-11-01,3,401.38,20,Item_H
5,8,2023-03-06,4,344.55,4,Item_H
6,4,2023-11-14,39,354.21,27,Item_D
7,6,2023-02-03,43,315.72,19,Item_F
8,1,2023-10-26,17,214.85,11,Item_A
9,1,2023-11-17,0,404.33,16,Item_A
10,6,2023-12-14,26,173.31,15,Item_F
11,6,2023-05-20,8,154.46,17,Item_F
12,4,2023-09-23,0,360.36,19,Item_D
13,3,2023-01-15,25,219.04,11,Item_C
14,5,2023-03-11,6,398.04,6,Item_E
15,1,2023-02-25,10,460.7,12,Item_A
16,8,2023-08-20,0,70.71,19,Item_H
17,4,2023-04-03,20,33.58,8,Item_D
18,4,2023-05-19,18,277.08,26,Item_D
19,10,2023-10-04,6,474.21,9,Item_J
20,1,2023-08-05,9,427.24,28,Item_A
21,6,2023-07-06,27,397.01,19,Item_F
22,3,2023-04-03,22,79.47,3,Item_C
23,9,2023-05-09,13,137.02,18,Item_I
24,7,2023-09-05,26,61.21,19,Item_G
25,8,2023-06-11,49,235.07,10,Item_H
26,8,2023-07-25,0,101.37,23,Item_H
27,1,2023-05-12,45,449.63,29,Item_A
28,7,2023-08-14,17,250.26,27,Item_G
29,8,2023-12-21,14,166.18,7,Item_H
30,5,2023-03-27,42,418.14,28,Item_E
31,3,2023-07-31,37,57.95,1,Item_C
32,3,2023-07-06,2,427.36,9,Item_C
33,6,2023-09-27,12,488.23,11,Item_F
34,6,2023-12-27,49,94.62,7,Item_F
35,2,2023-12-01,22,276.68,24,Item_B
36,4,2023-10-20,41,366.89,12,Item_D
37,7,2023-09-09,36,128.0,9,Item_G
38,1,2023-07-26,38,357.33,24,Item_A
39,7,2023-10-08,46,1.98,9,Item_G
40,8,2023-01-18,29,37.88,4,Item_H
41,6,2023-12-29,27,67.75,4,Item_F
42,9,2023-09-22,25,71.94,17,Item_I
43,4,2023-09-23,9,342.02,5,Item_D
44,9,2023-12-06,30,442.04,20,Item_I
45,5,2023-03-24,45,363.52,20,Item_E
46,1,2023-03-14,10,353.9,29,Item_A
47,8,2023-12-12,21,385.17,22,Item_H
48,7,2023-02-21,27,350.47,23,Item_G
49,10,2023-03-22,0,198.95,30,Item_J
50,4,2023-09-02,0,1.62,1,Item_D
51,9,2023-07-25,0,240.4,6,Item_I
52,4,2023-06-01,5,276.27,20,Item_D
53,7,2023-09-14,0,325.79,21,Item_G
54,8,2023-05-07,0,407.09,11,Item_H
55,8,2023-07-27,20,285.98,26,Item_H
56,7,2023-06-27,1,460.95,21,Item_G
57,10,2023-11-17,22,207.87,25,Item_J
58,4,2023-04-21,38,442.81,4,Item_D
59,10,2023-01-03,43,476.26,21,Item_J
60,1,2023-11-02,41,37.97,21,Item_A
61,4,2023-10-14,0,423.01,8,Item_D
62,1,2023-04-02,2,234.98,30,Item_A
63,4,2023-07-25,47,309.6,12,Item_D
64,2,2023-08-17,42,76.0,11,Item_B
65,5,2023-10-19,16,406.85,7,Item_E
66,2,2023-05-11,4,192.58,28,Item_B
67,6,2023-03-14,0,414.33,19,Item_F
68,1,2023-12-25,46,460.23,6,Item_A
69,6,2023-02-01,33,154.78,4,Item_F
70,2,2023-10-24,31,191.54,15,Item_B
71,9,2023-12-24,6,30.9,12,Item_I
72,7,2023-05-13,15,389.84,19,Item_G
73,5,2023-03-16,7,216.55,22,Item_E
74,5,2023-02-04,41,178.08,27,Item_E
75,9,2023-06-02,38,165.06,26,Item_I
76,7,2023-02-05,16,336.61,11,Item_G
77,5,2023-07-16,23,294.27,5,Item_E
78,8,2023-12-21,13,332.74,22,Item_H
79,4,2023-08-12,23,118.51,29,Item_D
80,6,2023-09-13,25,147.0,11,Item_F
81,7,2023-11-07,42,429.35,26,Item_G
82,3,2023-11-17,17,256.93,7,Item_C
83,3,2023-02-06,37,32.84,7,Item_C
84,7,2023-11-09,18,134.43,10,Item_G
85,8,2023-12-20,47,414.23,15,Item_H
86,5,2023-04-24,40,442.78,25,Item_E
87,10,2023-11-24,33,253.62,26,Item_J
88,9,2023-03-24,26,55.2,25,Item_I
89,9,2023-04-21,0,203.83,23,Item_I
90,8,2023-09-10,16,166.9,11,Item_H
91,7,2023-05-12,40,96.78,1,Item_G
92,8,2023-12-19,36,165.41,1,Item_H
93,3,2023-11-02,19,354.7,1,Item_C
94,5,2023-04-13,15,192.81,29,Item_E
95,5,2023-02-07,0,44.87,11,Item_E
96,5,2023-11-17,40,388.92,16,Item_E
97,3,2023-10-16,0,477.11,3,Item_C
98,10,2023-09-26,37,455.11,8,Item_J
99,7,2023-12-10,33,232.41,16,Item_G
100,6,2023-06-19,20,442.71,20,Item_F
101,6,2023-08-12,30,150.34,20,Item_F
102,4,2023-03-28,24,463.74,21,Item_D
103,3,2023-09-19,49,263.54,30,Item_C
104,4,2023-11-23,44,358.29,8,Item_D
105,2,2023-10-15,0,218.51,20,Item_B
106,8,2023-09-07,12,194.49,4,Item_H
107,5,2023-02-24,2,14.52,30,Item_E
108,1,2023-05-15,28,37.55,11,Item_A
109,7,2023-08-21,13,274.79,2,Item_G
110,6,2023-04-09,12,100.86,9,Item_F
111,2,2023-08-08,36,61.97,11,Item_B
112,2,2023-10-10,6,415.0,4,Item_B
113,5,2023-08-10,0,99.83,9,Item_E
114,10,2023-07-03,38,104.24,14,Item_J
115,6,2023-04-08,0,294.21,16,Item_F
116,9,2023-10-05,0,423.47,30,Item_I
117,8,2023-09-11,6,171.25,11,Item_H
118,5,2023-01-13,3,488.41,20,Item_E
119,1,2023-05-12,9,105.75,3,Item_A
120,8,2023-01-31,22,446.36,11,Item_H
121,8,2023-12-31,0,208.74,5,Item_H
122,9,2023-09-21,12,41.28,28,Item_I
123,2,2023-06-29,0,323.01,14,Item_B
124,2,2023-08-29,17,373.24,23,Item_B
125,8,2023-05-27,24,48.56,25,Item_H
126,10,2023-10-14,35,53.4,3,Item_J
127,7,2023-03-23,31,380.66,19,Item_G
128,10,2023-07-24,1,325.42,16,Item_J
129,10,2023-11-24,10,114.43,23,Item_J
130,9,2023-01-08,35,141.9,22,Item_I
131,7,2023-12-11,4,467.27,18,Item_G
132,5,2023-08-28,10,226.68,4,Item_E
133,3,2023-09-11,0,168.58,12,Item_C
134,5,2023-04-15,29,4.74,26,Item_E
135,5,2023-12-29,14,243.48,6,Item_E
136,8,2023-05-19,46,125.62,26,Item_H
137,9,2023-08-21,11,350.71,20,Item_I
138,4,2023-03-09,48,225.44,29,Item_D
139,10,2023-05-31,31,423.74,23,Item_J
140,1,2023-03-06,6,485.18,19,Item_A
141,1,2023-07-17,32,369.94,1,Item_A
142,8,2023-06-24,23,243.86,20,Item_H
143,2,2023-10-06,38,448.19,25,Item_B
144,9,2023-06-24,0,399.89,9,Item_I
145,4,2023-06-29,6,132.59,26,Item_D
146,1,2023-06-16,24,333.35,18,Item_A
147,10,2023-04-19,19,478.41,15,Item_J
148,4,2023-09-20,5,172.23,12,Item_D
149,4,2023-09-30,28,87.16,17,Item_D
150,6,2023-12-27,47,231.39,21,Item_F
151,10,2023-06-24,42,479.54,10,Item_J
152,5,2023-03-09,10,369.94,12,Item_E
153,3,2023-04-27,12,1.53,29,Item_C
154,6,2023-10-22,18,123.53,26,Item_F
155,1,2023-10-17,25,440.46,13,Item_A
156,10,2023-10-28,40,465.21,30,Item_J
157,7,2023-07-16,0,337.36,8,Item_G
158,5,2023-04-22,13,457.4,17,Item_E
159,7,2023-08-09,40,205.09,1,Item_G
160,7,2023-05-03,14,410.95,17,Item_G
161,5,2023-12-25,48,31.87,16,Item_E
162,3,2023-03-31,46,318.86,5,Item_C
163,10,2023-02-07,8,364.96,27,Item_J
164,2,2023-02-26,43,336.45,19,Item_B
165,10,2023-03-13,18,58.05,6,Item_J
166,1,2023-10-24,29,437.86,11,Item_A
167,6,2023-07-22,42,495.14,10,Item_F
168,5,2023-09-18,13,268.05,14,Item_E
169,1,2023-07-21,46,346.9,27,Item_A
170,1,2023-01-06,6,404.45,12,Item_A
171,5,2023-01-16,25,470.69,27,Item_E
172,4,2023-05-06,2,20.14,30,Item_D
173,5,2023-05-20,0,100.72,15,Item_E
174,2,2023-07-04,29,284.49,1,Item_B
175,8,2023-12-19,30,13.0,14,Item_H
176,3,2023-03-08,42,492.52,29,Item_C
177,4,2023-06-03,47,293.52,3,Item_D
178,1,2023-12-05,17,216.54,9,Item_A
179,4,2023-02-09,41,477.14,26,Item_D
180,1,2023-10-10,34,459.26,10,Item_A
181,7,2023-08-15,4,314.93,14,Item_G
182,4,2023-06-24,32,62.96,1,Item_D
183,5,2023-08-22,45,413.18,21,Item_E
184,5,2023-07-04,31,146.47,29,Item_E
185,8,2023-07-18,1,186.86,21,Item_H
186,1,2023-09-01,15,334.83,7,Item_A
187,3,2023-04-11,22,206.08,3,Item_C
188,8,2023-08-29,41,6.34,14,Item_H
189,10,2023-12-20,13,432.47,17,Item_J
190,2,2023-11-23,49,304.84,18,Item_B
191,1,2023-10-24,14,53.75,29,Item_A
192,10,2023-05-04,0,351.31,1,Item_J
193,1,2023-12-06,9,49.17,2,Item_A
194,7,2023-06-04,33,231.31,3,Item_G
195,6,2023-09-19,43,372.82,11,Item_F
196,6,2023-10-01,0,123.47,11,Item_F
197,5,2023-04-09,48,466.47,3,Item_E
198,5,2023-10-30,20,368.44,10,Item_E
199,8,2023-02-02,40,492.19,6,Item_H
200,10,2023-04-29,36,238.27,2,Item_J
201,5,2023-02-01,7,233.56,2,Item_E
202,8,2023-08-02,22,7.48,16,Item_H
203,5,2023-01-23,8,484.38,13,Item_E
204,10,2023-10-24,36,22.42,24,Item_J
205,3,2023-06-20,20,89.78,20,Item_C
206,2,2023-01-26,0,109.73,8,Item_B
207,8,2023-07-11,16,76.5,27,Item_H
208,5,2023-09-13,26,186.51,14,Item_E
209,9,2023-09-30,34,466.44,10,Item_I
210,7,2023-01-26,1,98.49,26,Item_G
211,7,2023-11-25,42,125.97,30,Item_G
212,6,2023-05-05,7,382.77,22,Item_F
213,3,2023-02-17,2,134.32,27,Item_C
214,2,2023-11-30,20,335.73,28,Item_B
215,4,2023-01-23,3,272.39,11,Item_D
216,7,2023-09-22,48,49.42,26,Item_G
217,9,2023-04-21,47,155.73,6,Item_I
218,1,2023-09-02,0,75.02,10,Item_A
219,1,2023-09-09,27,172.27,15,Item_A
220,5,2023-04-29,43,489.1,19,Item_E
221,2,2023-10-03,42,8.87,12,Item_B
222,4,2023-03-16,21,442.33,27,Item_D
223,4,2023-09-01,33,141.02,5,Item_D
224,9,2023-08-13,11,453.74,22,Item_I
225,4,2023-09-14,47,23.24,9,Item_D
226,3,2023-04-12,23,155.59,12,Item_C
227,6,2023-03-03,29,45.63,25,Item_F
228,5,2023-05-15,34,382.36,3,Item_E
229,4,2023-10-14,24,37.39,23,Item_D
230,7,2023-08-20,28,185.15,5,Item_G
231,7,2023-11-07,39,122.66,29,Item_G
232,8,2023-02-12,34,371.09,13,Item_H
233,3,2023-12-14,2,310.72,11,Item_C
234,1,2023-05-10,5,375.08,24,Item_A
235,9,2023-12-05,16,290.7,22,Item_I
236,6,2023-07-02,28,223.7,5,Item_F
237,4,2023-11-10,22,231.86,1,Item_D
238,9,2023-04-04,31,431.37,13,Item_I
239,3,2023-11-29,30,242.66,27,Item_C
240,6,2023-06-23,10,311.48,10,Item_F
241,2,2023-05-20,7,73.18,23,Item_B
242,1,2023-09-18,5,483.97,6,Item_A
243,10,2023-04-30,20,86.55,16,Item_J
244,2,2023-12-03,47,463.13,5,Item_B
245,8,2023-10-14,18,46.16,16,Item_H
246,7,2023-02-17,10,114.97,15,Item_G
247,5,2023-11-18,30,426.05,21,Item_E
248,4,2023-12-12,40,47.78,29,Item_D
249,8,2023-10-14,48,419.9,18,Item_H
250,4,2023-10-25,17,6.8,22,Item_D
251,10,2023-01-14,1,488.81,3,Item_J
252,1,2023-06-22,39,147.24,23,Item_A
253,7,2023-09-13,45,114.86,15,Item_G
254,9,2023-10-19,19,126.08,11,Item_I
255,10,2023-04-24,18,335.49,22,Item_J
256,3,2023-08-13,28,39.54,16,Item_C
